slug,title,cat,clicks,impressions,merchant,network,current_url,your_affiliate_url
shepherds-friendly-over-50s-insurance,Shepherds Friendly Over 50’s Insurance,Over 50's Insurance,0,63,shepherdsfriendly.co.uk,,https://www.shepherdsfriendly.co.uk/over-50s-life-insurance/?source=Compare100.com,
saga-landlord-insurance-review,Saga Landlord’s Insurance,Landlord's Insurance,0,60,saga.co.uk,,https://www.saga.co.uk/insurance/landlord-insurance?source=Compare100.com,
smart-cover-plumbing-insurance,Smart Cover Plumbing Insurance,Plumbing Insurance,0,59,awin1.com,Awin,https://www.awin1.com/cread.php?s=3049408&v=25007&q=428988&r=1384599,
avanti-west-coast-train-tickets,Avanti West Coast Train Tickets,Train Tickets,0,56,avantiwestcoast.co.uk,,https://www.avantiwestcoast.co.uk/?source=Compare100.com,
sainsburys-bank-over-50s-life-insurance,Sainsbury’s Bank Over 50’s Insurance,Over 50's Insurance,0,56,sainsburysbank.co.uk,,https://www.sainsburysbank.co.uk/life-insurance/over-50?source=Compare100.com,
american-express-credit-cards,American Express Credit Cards,Credit Cards,0,55,americanexpress.com,,https://www.americanexpress.com/uk/credit-cards/?source=Compare100.com,
marks-spencer-childrens-fashion,Marks &amp; Spencer Children's Fashion,Children's Fashion,0,52,marksandspencer.com,,https://www.marksandspencer.com/c/kids?source=Compare100.com,
coventry-building-society-mortgage-deals,Coventry Building Society Mortgage Deals,Mortgage Deals,0,48,coventrybuildingsociety.co.uk,,https://www.coventrybuildingsociety.co.uk/mortgages?source=Compare100.com,
sse-gas,SSE Gas,Gas,0,48,sse.com,,https://www.sse.com/?source=Compare100.com,
quotezone-car-insurance-review,Quotezone.co.uk Car Insurance,Car Insurance Deals,0,46,quotezone.co.uk,,https://www.quotezone.co.uk/SetAffiliate.php?aid=E5W0C8-001&type=car,
row-co-uk-phone-insurance,Row.co.uk Phone Insurance,Phone Insurance,0,45,row.co.uk,,https://www.row.co.uk/mobile-phone-insurance?source=Compare100.com,
quotezone-landlord-insurance-review,Quotezone.co.uk Landlord’s Insurance,Landlord's Insurance,0,45,quotezone.co.uk,,https://www.quotezone.co.uk/SetAffiliate.php?aid=E5W0C8-003&type=generic,
axa-tradesman-insurance-review,AXA Tradesman Insurance,Tradesman Insurance,0,44,axa.co.uk,,https://www.axa.co.uk/business-insurance/trades/?source=Compare100.com,
laterooms-hotel-deals,LateRooms.com – Last-Minute Hotel Deals,Hotels,0,43,awin1.com,Awin,https://www.awin1.com/cread.php?s=3568633&v=74386&q=483185&r=1384599,
edf-energy-electricity,EDF Energy Electricity,Electricity,0,39,edfenergy.com,,https://www.edfenergy.com/?source=Compare100.com,
dfds-ferry-tickets,DFDS Ferry Tickets,Ferry Tickets,0,32,dfds.com,,https://www.dfds.com/en-gb/passenger-ferries?source=Compare100.com,
habitat-furniture,Habitat Furniture,Furniture,0,32,habitat.co.uk,,https://www.habitat.co.uk/?source=Compare100.com,
a2z-airport-parking-compare-book,A2Z Airport Parking – Compare &amp; Book,Airport Parking,0,29,scripts.affiliatefuture.com,,https://scripts.affiliatefuture.com/AFClick.asp?affiliateID=252689&merchantID=6964&programmeID=24414&mediaID=0&tracking=&afsource=20&url=,
luxury-escapes-exclusive-hotel-deals,Luxury Escapes – Exclusive Hotel Deals,Hotels,0,28,clk.omgt3.com,,https://clk.omgt3.com/?PID=55916&AID=515880,
priority-pass-airport-lounge,Priority Pass Airport Lounge,Airport Lounge,0,28,prioritypass.com,,https://www.prioritypass.com/?source=Compare100.com,
purple-parking-airport-parking,Purple Parking Airport Parking – Compare Park &amp; Ride vs Meet and Greet,Airport Parking,0,27,awin1.com,Awin,https://www.awin1.com/cread.php?s=2261341&v=12028&q=348197&r=1384599,
byd-new-cars,BYD New Cars,New Cars,0,26,byd.com,,https://www.byd.com/uk/?source=Compare100.com,
carvertical,CarVertical,HPI Checks,0,26,carvertical.com,,https://www.carvertical.com/gb?source=Compare100.com,
moss-bros-mens-fashion,Moss Bros Men's Fashion,Men's Fashion,0,26,moss.co.uk,,https://www.moss.co.uk/?source=Compare100.com,
carexamer,CarExamer,Vehicle Inspections,0,25,carexamer.com,,https://carexamer.com/?source=Compare100.com,
st-christophers-inns-hostels,St Christopher’s Inns Hostels,Hostels,0,24,st-christophers.co.uk,,https://www.st-christophers.co.uk/?source=Compare100.com,
british-gas,British Gas,Gas,0,24,refer.britishgas.co.uk,,https://refer.britishgas.co.uk/andrewk-3158t,
currys-televisions,Currys Televisions,Televisions,0,23,currys.co.uk,,https://www.currys.co.uk/?source=Compare100.com,
park-and-go-airport-parking,Park and Go Airport Parking,Airport Parking,0,21,assets.ikhnaie.link,,https://assets.ikhnaie.link/click.html?wglinkid=151372&wgcampaignid=122991,
richardsons-boating-holidays-uk-boating-holidays,Richardsons Boating Holidays UK Boating Holidays,UK Boating Holidays,0,21,richardsonsboatingholidays.co.uk,,https://www.richardsonsboatingholidays.co.uk/?source=Compare100.com,
vavista-life-insurance,Vavista Life Insurance,Life Insurance,0,21,vavista.com,,https://www.vavista.com/life-insurance?source=Compare100.com,
airport-parking-shop-airport-parking,Airport Parking Shop Airport Parking,Airport Parking,0,18,airport-parking-shop.co.uk,,https://www.airport-parking-shop.co.uk/?source=Compare100.com,
go-compare-phone-insurance,Go Compare Phone Insurance,Phone Insurance,0,17,gocompare.com,,https://www.gocompare.com/home-insurance/mobile-phone-cover/?source=Compare100.com,
